time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-02T19:00:28.670Z,30.4016,131.0709,52.09,4.7,mb,,131,1.225,1.14,us,us2000axkg,2017-10-01T19:48:54.040Z,"37km S of Nishinoomote, Japan",earthquake,5.9,8.3,0.12,21,reviewed,us,us
2017-10-02T17:01:21.250Z,-24.2867,-115.6588,10,4.9,mb,,220,6.3,1.08,us,us2000axj4,2017-10-01T17:19:30.040Z,"Southern East Pacific Rise",earthquake,15.7,2,0.048,137,reviewed,us,us
2017-10-02T16:48:05.410Z,-45.7692,-76.1816,10,4.8,mwr,,173,2.196,0.97,us,us2000axiu,2017-10-01T17:18:11.040Z,"264km W of Puerto Chacabuco, Chile",earthquake,7.7,1.8,,,reviewed,us,guc
2017-10-02T14:35:36.330Z,12.898,92.3426,30.37,4.5,mb,,113,1.295,0.76,us,us2000axi8,2017-10-01T15:59:35.040Z,"138km NNW of Bamboo Flat, India",earthquake,8.5,5.6,0.104,27,reviewed,us,us
2017-10-02T14:20:28.470Z,40.1598,142.306,57.26,4.5,mb,,88,1.136,0.81,us,us2000axhz,2017-10-01T15:38:32.040Z,"65km NNE of Miyako, Japan",earthquake,4.3,6.6,0.072,56,reviewed,us,us
2017-10-01T14:08:00.330Z,-22.8028,-174.5287,10,5,mb,,86,5.677,1.13,us,us2000axhv,2017-10-01T14:54:28.040Z,"168km SSE of `Ohonua, Tonga",earthquake,8.6,1.8,0.07,65,reviewed,us,us
2017-10-01T12:49:04.080Z,12.7332,91.9129,25.97,4.6,mb,,162,1.344,0.64,us,us2000axhf,2017-10-01T13:03:31.040Z,"143km NW of Bamboo Flat, India",earthquake,9.5,5.6,0.107,26,reviewed,us,us
2017-10-01T10:06:55.110Z,-24.4751,-176.6916,87.71,5.1,mb,,105,4.877,1.38,us,us2000axgb,2017-10-01T10:21:36.040Z,"South of the Fiji Islands",earthquake,10.5,7.7,0.147,15,reviewed,us,us
2017-10-01T01:35:26.490Z,7.5135,-73.1491,142.73,5.1,mb,,30,2.837,1.01,us,us2000axct,2017-10-01T16:32:13.776Z,"7km NE of El Playon, Colombia",earthquake,7.4,6.3,0.022,665,reviewed,us,us
2017-10-01T01:25:07.970Z,36.9167,140.5685,10,4.9,mb,,131,0.966,1.21,us,us2000axcn,2017-10-01T13:35:38.956Z,"21km NW of Kitaibaraki, Japan",earthquake,5.1,1.9,0.039,205,reviewed,us,us
2017-10-01T00:19:23.710Z,7.2071,126.9456,68.13,4.5,mb,,99,1.362,0.7,us,us2000axc3,2017-10-01T00:38:56.040Z,"42km ESE of Santiago, Philippines",earthquake,4.7,7.5,0.088,38,reviewed,us,us
2017-09-30T23:15:29.570Z,3.9405,128.5426,10,5.5,mww,,36,3.359,0.86,us,us2000axas,2017-10-01T01:18:16.177Z,"251km NNE of Tobelo, Indonesia",earthquake,7.3,1.8,0.073,18,reviewed,us,us
